timestamp,actual,raw_340,average_5,median_5,median_7,ema_0.2,ema_0.5,hybrid_med_ema,kalman,mad_filter,regression_calibrated
18121,16.0,15.079,15.079,15.079,15.079,15.079000000000002,15.079,15.079000000000002,15.079,15.079,15.32028178837634
19121,16.0,15.079,15.079,15.079,15.079,15.079000000000002,15.079,15.079000000000002,15.079,15.079,15.32028178837634
20121,16.0,15.079,15.079,15.079,15.079,15.079000000000002,15.079,15.079000000000002,15.079,15.079,15.32028178837634
21121,16.0,15.062000000000001,15.074750000000002,15.079,15.079,15.075600000000001,15.070500000000001,15.079000000000002,15.074838270297457,15.079,15.302225089985178
22121,16.0,15.079,15.0756,15.079,15.079,15.076280000000002,15.074750000000002,15.079000000000002,15.07565941225291,15.079,15.32028178837634
23121,16.0,15.079,15.0756,15.079,15.079,15.076824000000004,15.076875000000001,15.079000000000002,15.076212245804228,15.079,15.32028178837634
24121,16.0,15.079,15.0756,15.079,15.079,15.077259200000004,15.0779375,15.079000000000002,15.076610134316551,15.079,15.32028178837634
25121,16.0,15.079,15.0756,15.079,15.079,15.077607360000004,15.07846875,15.079000000000002,15.076910458401034,15.079,15.32028178837634
26121,16.0,15.062000000000001,15.0756,15.079,15.079,15.074485888000005,15.070234375000002,15.079000000000002,15.075234146322826,15.079,15.302225089985178
27121,16.0,15.079,15.0756,15.079,15.079,15.075388710400006,15.074617187500001,15.079000000000002,15.075617775946377,15.079,15.32028178837634
28121,16.0,15.079,15.0756,15.079,15.079,15.076110968320005,15.076808593750002,15.079000000000002,15.075933253841546,15.079,15.32028178837634
29121,16.0,15.079,15.0756,15.079,15.079,15.076688774656006,15.077904296875001,15.079000000000002,15.076197463732498,15.079,15.32028178837634
30121,16.0,15.079,15.0756,15.079,15.079,15.077151019724806,15.078452148437501,15.079000000000002,15.076422133002893,15.079,15.32028178837634
31121,16.0,15.062000000000001,15.0756,15.079,15.079,15.074120815779846,15.070226074218752,15.079000000000002,15.075339420161942,15.079,15.302225089985178
32121,16.0,15.079,15.0756,15.079,15.079,15.075096652623879,15.074613037109376,15.079000000000002,15.075598204930095,15.079,15.32028178837634
33121,16.0,15.079,15.0756,15.079,15.079,15.075877322099105,15.076806518554688,15.079000000000002,15.075825780652547,15.079,15.32028178837634
34121,16.0,15.079,15.0756,15.079,15.079,15.076501857679284,15.077903259277345,15.079000000000002,15.07602760261836,15.079,15.32028178837634
35121,16.0,15.079,15.0756,15.079,15.079,15.077001486143429,15.078451629638673,15.079000000000002,15.076207919652932,15.079,15.32028178837634
36121,16.0,15.079,15.079000000000002,15.079,15.079,15.077401188914743,15.078725814819336,15.079000000000002,15.07637008999841,15.079000000000002,15.32028178837634
37121,16.0,15.079,15.079000000000002,15.079,15.079,15.077720951131797,15.078862907409668,15.079000000000002,15.076516802902782,15.079000000000002,15.32028178837634
38121,16.0,15.079,15.079000000000002,15.079,15.079,15.077976760905438,15.078931453704834,15.079000000000002,15.076650237198868,15.079000000000002,15.32028178837634
39121,16.0,15.096000000000002,15.082400000000002,15.079,15.079,15.08158140872435,15.087465726852418,15.079000000000002,15.077654382364281,15.079,15.3383384867675
40121,16.0,15.079,15.082400000000002,15.079,15.079,15.081065126979482,15.08323286342621,15.079000000000002,15.077721982393877,15.079,15.32028178837634
41121,16.0,15.079,15.082400000000002,15.079,15.079,15.080652101583587,15.081116431713106,15.079000000000002,15.077784272820958,15.079,15.32028178837634
42121,16.0,15.096000000000002,15.0858,15.079,15.079,15.08372168126687,15.088558215856555,15.079000000000002,15.078647389610907,15.079,15.3383384867675
43121,16.0,15.079,15.0858,15.079,15.079,15.082777345013497,15.083779107928278,15.079000000000002,15.078663662639674,15.079,15.32028178837634
44121,16.0,15.079,15.082400000000002,15.079,15.079,15.0820218760108,15.08138955396414,15.079000000000002,15.078678806946186,15.079,15.32028178837634
